,year,month,count
0,1997,1,0
1,1997,2,0
2,1997,3,0
3,1997,4,0
4,1997,5,1
5,1997,6,0
6,1997,7,0
7,1997,8,0
8,1997,9,0
9,1997,10,0
10,1997,11,0
11,1997,12,0
12,1998,1,0
13,1998,2,0
14,1998,3,0
15,1998,4,0
16,1998,5,0
17,1998,6,0
18,1998,7,0
19,1998,8,0
20,1998,9,0
21,1998,10,0
22,1998,11,0
23,1998,12,0
24,1999,1,0
25,1999,2,0
26,1999,3,0
27,1999,4,0
28,1999,5,0
29,1999,6,0
30,1999,7,0
31,1999,8,0
32,1999,9,0
33,1999,10,0
34,1999,11,0
35,1999,12,0
36,2000,1,0
37,2000,2,0
38,2000,3,0
39,2000,4,0
40,2000,5,0
41,2000,6,0
42,2000,7,0
43,2000,8,0
44,2000,9,0
45,2000,10,0
46,2000,11,0
47,2000,12,0
48,2001,1,0
49,2001,2,0
50,2001,3,0
51,2001,4,0
52,2001,5,0
53,2001,6,0
54,2001,7,0
55,2001,8,0
56,2001,9,0
57,2001,10,0
58,2001,11,0
59,2001,12,0
60,2002,1,0
61,2002,2,0
62,2002,3,0
63,2002,4,0
64,2002,5,0
65,2002,6,0
66,2002,7,0
67,2002,8,0
68,2002,9,0
69,2002,10,0
70,2002,11,0
71,2002,12,0
72,2003,1,0
73,2003,2,0
74,2003,3,0
75,2003,4,0
76,2003,5,0
77,2003,6,0
78,2003,7,0
79,2003,8,0
80,2003,9,0
81,2003,10,0
82,2003,11,0
83,2003,12,0
84,2004,1,0
85,2004,2,0
86,2004,3,0
87,2004,4,0
88,2004,5,0
89,2004,6,0
90,2004,7,0
91,2004,8,0
92,2004,9,0
93,2004,10,1
94,2004,11,0
95,2004,12,0
96,2005,1,0
97,2005,2,0
98,2005,3,0
99,2005,4,0
100,2005,5,0
101,2005,6,0
102,2005,7,0
103,2005,8,0
104,2005,9,0
105,2005,10,0
106,2005,11,0
107,2005,12,0
108,2006,1,0
109,2006,2,0
110,2006,3,0
111,2006,4,0
112,2006,5,0
113,2006,6,0
114,2006,7,0
115,2006,8,0
116,2006,9,0
117,2006,10,0
118,2006,11,0
119,2006,12,0
120,2007,1,0
121,2007,2,0
122,2007,3,0
123,2007,4,0
124,2007,5,1
125,2007,6,0
126,2007,7,0
127,2007,8,0
128,2007,9,0
129,2007,10,0
130,2007,11,0
131,2007,12,0
132,2008,1,0
133,2008,2,0
134,2008,3,0
135,2008,4,0
136,2008,5,0
137,2008,6,0
138,2008,7,0
139,2008,8,0
140,2008,9,0
141,2008,10,0
142,2008,11,0
143,2008,12,0
144,2009,1,0
145,2009,2,0
146,2009,3,0
147,2009,4,0
148,2009,5,0
149,2009,6,0
150,2009,7,0
151,2009,8,0
152,2009,9,0
153,2009,10,0
154,2009,11,0
155,2009,12,0
156,2010,1,0
157,2010,2,1
158,2010,3,0
159,2010,4,0
160,2010,5,0
161,2010,6,0
162,2010,7,2
163,2010,8,0
164,2010,9,0
165,2010,10,0
166,2010,11,0
167,2010,12,0
168,2011,1,0
169,2011,2,1
170,2011,3,0
171,2011,4,0
172,2011,5,0
173,2011,6,1
174,2011,7,0
175,2011,8,0
176,2011,9,0
177,2011,10,0
178,2011,11,0
179,2011,12,0
180,2012,1,0
181,2012,2,1
182,2012,3,1
183,2012,4,1
184,2012,5,0
185,2012,6,0
186,2012,7,0
187,2012,8,0
188,2012,9,2
189,2012,10,1
190,2012,11,0
191,2012,12,1
192,2013,1,1
193,2013,2,0
194,2013,3,1
195,2013,4,0
196,2013,5,0
197,2013,6,1
198,2013,7,0
199,2013,8,0
200,2013,9,0
201,2013,10,0
202,2013,11,1
203,2013,12,0
204,2014,1,1
205,2014,2,0
206,2014,3,0
207,2014,4,0
208,2014,5,0
209,2014,6,0
210,2014,7,0
211,2014,8,1
212,2014,9,0
213,2014,10,1
214,2014,11,1
215,2014,12,1
216,2015,1,0
217,2015,2,0
218,2015,3,0
219,2015,4,1
220,2015,5,0
221,2015,6,0
222,2015,7,0
223,2015,8,0
224,2015,9,1
225,2015,10,0
226,2015,11,0
227,2015,12,1
228,2016,1,0
229,2016,2,1
230,2016,3,0
231,2016,4,0
232,2016,5,0
233,2016,6,0
234,2016,7,1
235,2016,8,0
236,2016,9,0
237,2016,10,0
238,2016,11,0
239,2016,12,2
240,2017,1,0
241,2017,2,1
242,2017,3,0
243,2017,4,1
244,2017,5,1
245,2017,6,1
246,2017,7,1
247,2017,8,1
248,2017,9,0
249,2017,10,2
250,2017,11,2
251,2017,12,0
252,2018,1,0
253,2018,2,1
254,2018,3,2
255,2018,4,0
256,2018,5,0
257,2018,6,0
258,2018,7,1
259,2018,8,0
260,2018,9,1
261,2018,10,0
262,2018,11,0
263,2018,12,0
264,2019,1,0
265,2019,2,0
266,2019,3,1
267,2019,4,1
268,2019,5,1
269,2019,6,0
270,2019,7,0
271,2019,8,1
272,2019,9,1
273,2019,10,0
274,2019,11,0
275,2019,12,0
